# Timestamp Wed May  7 14:21:36 2025
# At the Calibration unit focal plane for NCPA calibration mode
# Source is NCPA MGG Lamps
# nm, W/nm, photons/s/nm
2.313739999999999952e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.316430000000000007e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.319120000000000061e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.321800000000000068e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.324490000000000123e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.327179999999999893e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.329869999999999948e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.332560000000000002e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.335250000000000057e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.337930000000000064e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.340620000000000118e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.343309999999999889e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.345999999999999943e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.348679999999999950e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.351370000000000005e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.354060000000000059e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.356750000000000114e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.359439999999999884e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.362119999999999891e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.364809999999999945e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.367500000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.370180000000000007e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.372870000000000061e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.375560000000000116e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.378249999999999886e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.380929999999999893e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.383619999999999948e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.386310000000000002e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.388990000000000009e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.391680000000000064e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.394370000000000118e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.397050000000000125e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.399739999999999895e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.402429999999999950e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.405109999999999957e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.407800000000000011e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.410480000000000018e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.413170000000000073e+02,0.000000000000000000e+00,0.000000000000000000e+00
