# Timestamp Wed May  7 14:21:36 2025
# At the Calibration unit focal plane for spectral calibration mode
# Source is Hector Xe
# nm, W/line, W/mm^2/line, W/mm^2/sr/line, photons/s/line, photons/s/mm^2/line, photons/s/mm^2/sr/line
7.860411987041036355e+02,4.585169902143839807e-14,1.402830555252545543e-16,4.023278857742011146e-14,1.812032401278593170e+05,5.543904531068146753e+02,1.589976337888591224e+05
7.939424308855291201e+02,5.669985233556112279e-14,1.734729291000595923e-16,4.975155163434569837e-14,2.263268908705176145e+05,6.924460483787551084e+02,1.985915929859193275e+05
8.028203963282937821e+02,2.911177379104157983e-14,8.906733373735781135e-17,2.554426259103349159e-14,1.175039003154531965e+05,3.595026252937657887e+02,1.031043490057693271e+05
8.173467267818574555e+02,1.342003066091653902e-13,4.105852011014345734e-16,1.177546890968431505e-13,5.514740137763852254e+05,1.687232127628598846e+03,4.838934625264959177e+05
8.198067203023757656e+02,8.949534159996226991e-12,2.738105728437472099e-14,7.852810766230835761e-12,3.688732150799690932e+07,1.128565850714666594e+05,3.236695344102005288e+07
8.244763887688984596e+02,3.562442046615220036e-12,1.089927453281854250e-14,3.125881499260650441e-12,1.476696507688185573e+07,4.517945956269007729e+04,1.295734283675179258e+07
8.311073768898488652e+02,2.823527738536550903e-13,8.638569714440075723e-16,2.477517670477339817e-13,1.179816356134157861e+06,3.609642541703560710e+03,1.035235400859060348e+06
8.372416544276456989e+02,5.361020398740580096e-13,1.640201646436076715e-15,4.704052518553759048e-13,2.256646348950186279e+06,6.904198793650524749e+03,1.980104933709644480e+06
8.607460777537796730e+02,2.168039972275753535e-14,6.633108004777045854e-17,1.902356852494880714e-14,9.382261953493053443e+04,2.870498591467592746e+02,8.232509800266436650e+04
8.695406036717063216e+02,5.612903614171800311e-14,1.717265196643226921e-16,4.925068628510923858e-14,2.453819807449999789e+05,7.507450054065174072e+02,2.153115710588220973e+05
8.773475982721381570e+02,1.398839210062063339e-11,4.279741923724328030e-14,1.227418032337656141e-11,6.170277633568859845e+07,1.887793513325349195e+05,5.414139078669463098e+07
8.814911069114471047e+02,1.260292542432746711e-13,3.855859051711340232e-16,1.105849608357769219e-13,5.585403058126112446e+05,1.708851414573932743e+03,4.900938136495124199e+05
8.861195464362850771e+02,6.433985767148962403e-14,1.968474891627562016e-16,5.645531018573667408e-14,2.866405505160157336e+05,8.769754037909657427e+02,2.515140968109842506e+05
8.883115518358531517e+02,6.849598868298294932e-14,2.095631522657297058e-16,6.010212685456476379e-14,3.059114027225320460e+05,9.359344846494900594e+02,2.684233965551218716e+05
8.905015939524838586e+02,2.349186352512921309e-12,7.187324495318169874e-15,2.061304594305698701e-12,1.051761785522462800e+07,3.217860190716221041e+04,9.228733166670704260e+06
8.995003012958962927e+02,2.958921342183698215e-12,9.052805802165342366e-15,2.596319423662620261e-12,1.338135062244894356e+07,4.094017871604306129e+04,1.174152892833039351e+07
9.111563120950323764e+02,3.754699666224289379e-12,1.148748580747953260e-14,3.294578850224965688e-12,1.720019256360670179e+07,5.262390750923618907e+04,1.509238971883998066e+07
9.160066025917926709e+02,4.180850435451648749e-14,1.279129206324554096e-16,3.668506843436577617e-14,1.925433184174199414e+05,5.890853688090955984e+02,1.689480387250418134e+05
9.252134179265658531e+02,2.620260279788233102e-14,8.016673889189735329e-17,2.299159684469736820e-14,1.218853679899492709e+05,3.729077048476566461e+02,1.069488883874917083e+05
9.319887073434124432e+02,7.971304368908810973e-14,2.438816788161973362e-16,6.994458443309232162e-14,3.735126020422433503e+05,1.142760033105324737e+03,3.277403862818998750e+05
9.387571252699783599e+02,4.051198249841083220e-14,1.239462181675208976e-16,3.554742924463119372e-14,1.912061952196874481e+05,5.849944467321644197e+02,1.677747736974758154e+05
9.455196533477321736e+02,1.478091510609785298e-13,4.522213961086390102e-16,1.296958335538194622e-13,7.026468440060282592e+05,2.149744684188375686e+03,6.165407721591381123e+05
9.623930885529158559e+02,2.483957385940105809e-14,7.599655832410431972e-17,2.179560070328541879e-14,1.201882061583070026e+05,3.677152462791683547e+02,1.054597057702411403e+05
9.674475604751620494e+02,5.144995485419737552e-14,1.574108926739786282e-16,4.514500444135987523e-14,2.502520528418827744e+05,7.656449678715847540e+02,2.195848386849370436e+05
9.736986533477322610e+02,2.814343382067913640e-12,8.610470219416976204e-15,2.469458813773915075e-12,1.377738743679049984e+07,4.215185146976905526e+04,1.208903329044419341e+07
9.857041285097192258e+02,1.902823427615271378e-12,5.821679245214028716e-15,1.669641350206295244e-12,9.429969373682193458e+06,2.885094654030575839e+04,8.274370900094959885e+06
